Date,Open,High,Low,Close,Adj Close,Volume
2019-02-26,20374.0,20507.0,20337.0,20460.0,20460.0,425903600.0
2019-02-27,20409.0,20561.0,20398.0,20499.0,20499.0,513160300.0
2019-02-28,20424.0,20683.0,20423.0,20659.0,20659.0,551080700.0
2019-03-01,20798.0,20836.0,20695.0,20695.0,20695.0,427725200.0
2019-03-04,20820.0,20857.0,20633.0,20718.0,20718.0,342298100.0
2019-03-05,20720.0,20827.0,20657.0,20716.0,20716.0,433780900.0
2019-03-06,20734.0,20906.0,20678.0,20852.0,20852.0,531969000.0
2019-03-07,20825.0,21010.0,20598.0,20698.0,20698.0,707971100.0
2019-03-08,20564.0,20674.0,20386.0,20484.0,20484.0,490944700.0
2019-03-11,20588.0,20656.0,20472.0,20638.0,20638.0,369862800.0
2019-03-12,20746.0,20746.0,20528.0,20631.0,20631.0,500906000.0
2019-03-13,20598.0,20758.0,20592.0,20749.0,20749.0,442591400.0
2019-03-14,20767.0,20971.0,20764.0,20877.0,20877.0,488084800.0
2019-03-15,20948.0,21112.0,20877.0,21045.0,21045.0,714128000.0
2019-03-18,21091.0,21255.0,21086.0,21235.0,21235.0,466280700.0
2019-03-19,21275.0,21484.0,21231.0,21430.0,21430.0,430734700.0
2019-03-20,21360.0,21477.0,21330.0,21330.0,21330.0,385296000.0
2019-03-21,21346.0,21441.0,21265.0,21373.0,21373.0,349253800.0
2019-03-22,21463.0,21464.0,21046.0,21079.0,21079.0,548497100.0
2019-03-25,21017.0,21224.0,20925.0,21060.0,21060.0,367269700.0
2019-03-26,21107.0,21185.0,20988.0,21139.0,21139.0,347037900.0
2019-03-27,21190.0,21424.0,21011.0,21194.0,21194.0,473969200.0
2019-03-28,21165.0,21213.0,21036.0,21081.0,21081.0,326023100.0
2019-03-29,21208.0,21295.0,21087.0,21286.0,21286.0,560557200.0
2019-04-01,21404.0,21547.0,21349.0,21520.0,21520.0,444344600.0
2019-04-02,21532.0,21572.0,21448.0,21523.0,21523.0,365165100.0
2019-04-03,21655.0,21789.0,21629.0,21756.0,21756.0,480225800.0
2019-04-04,21696.0,21742.0,21634.0,21706.0,21706.0,373581600.0
2019-04-05,21751.0,21824.0,21679.0,21759.0,21759.0,357901300.0
2019-04-08,21772.0,21810.0,21696.0,21772.0,21772.0,347374500.0
2019-04-09,21759.0,21898.0,21611.0,21672.0,21672.0,371716900.0
2019-04-10,21687.0,21761.0,21619.0,21672.0,21672.0,353450200.0
2019-04-11,21698.0,21770.0,21478.0,21685.0,21685.0,462740200.0
2019-04-12,21677.0,21912.0,21633.0,21858.0,21858.0,557602400.0
2019-04-15,21909.0,22004.0,21841.0,21892.0,21892.0,394044200.0
2019-04-16,21919.0,21982.0,21806.0,21919.0,21919.0,409160800.0
2019-04-17,21939.0,22053.0,21889.0,22001.0,22001.0,514517400.0
2019-04-18,21995.0,22024.0,21789.0,21957.0,21957.0,459091800.0
2019-04-23,21951.0,21952.0,21818.0,21897.0,21897.0,401468700.0
2019-04-24,21839.0,21890.0,21667.0,21724.0,21724.0,464647800.0
2019-04-25,21698.0,21776.0,21653.0,21720.0,21720.0,292361100.0
2019-04-26,21722.0,21770.0,21590.0,21738.0,21738.0,326486200.0
2019-04-29,21772.0,21844.0,21652.0,21789.0,21789.0,324648600.0
2019-04-30,21770.0,21887.0,21753.0,21881.0,21881.0,339718700.0
2019-05-02,21834.0,21915.0,21677.0,21710.0,21710.0,359603300.0
2019-05-03,21713.0,21812.0,21665.0,21763.0,21763.0,308603200.0
2019-05-06,21317.0,21469.0,21246.0,21409.0,21409.0,356675600.0
2019-05-07,21444.0,21555.0,21173.0,21219.0,21219.0,509334800.0
2019-05-08,21207.0,21257.0,21031.0,21204.0,21204.0,468009600.0
2019-05-09,21102.0,21104.0,20789.0,20817.0,20817.0,501271000.0
2019-05-10,21006.0,21051.0,20837.0,20875.0,20875.0,372063000.0
2019-05-13,20909.0,20911.0,20586.0,20594.0,20594.0,446913000.0
2019-05-14,20700.0,20893.0,20650.0,20893.0,20893.0,456220900.0
2019-05-15,20898.0,20905.0,20556.0,20863.0,20863.0,586426500.0
2019-05-16,20838.0,21152.0,20768.0,21152.0,21152.0,501407600.0
2019-05-17,21151.0,21164.0,20979.0,21105.0,21105.0,524970900.0
2019-05-20,20746.0,20909.0,20486.0,20540.0,20540.0,546435600.0
2019-05-21,20638.0,20709.0,20583.0,20699.0,20699.0,480199600.0
2019-05-22,20652.0,20738.0,20503.0,20573.0,20573.0,438055800.0
